Time(s):,Sensor1x:,Sensor1y:,Sensor1z:,Sensor2x:,Sensor2y:,Sensor2z:,Sensor3x:,Sensor3y:,Sensor3z:,Sensor4x:,Sensor4y:,Sensor4z:
0.15,78640,78640,126873,78640,78640,126873,-206,160,-92,-74,74,19
0.25,-7,-21,0,-146,-28,7,-204,158,-96,-76,69,23
0.29,-7,-21,0,-148,-26,0,-201,160,-92,-72,72,27
0.36,-7,-21,7,-148,-28,7,-204,158,-96,-74,74,15
0.40,-3,-2,0,0,-2,0,0,2,-4,2,0,-4
0.43,2,-2,-3,-3,5,-7,0,2,-4,2,2,4
0.48,-5,-5,-6,-3,5,-4,0,2,-4,4,0,4
0.51,2,-2,-3,-3,5,-4,-2,2,-4,4,2,0
0.56,0,-2,0,-3,3,0,-4,0,3,4,2,-4
0.59,0,-5,-6,0,5,-7,-2,5,0,0,2,0
0.64,-5,-2,0,0,5,-14,-2,7,-8,4,0,0
0.68,0,-2,-3,-5,3,-7,-4,5,-4,2,0,0
0.72,0,-5,-6,0,3,-4,3,0,-4,7,0,7
0.78,0,3,0,-8,3,-4,-2,2,-4,2,0,-4
0.81,0,-2,4,-3,5,-10,0,5,0,2,4,-4
0.86,-5,-5,-3,0,5,-4,0,2,3,-3,-3,0
0.89,0,0,4,-3,3,-7,-2,0,0,2,-5,-4
0.94,0,-9,-3,0,3,0,0,0,-4,4,2,-4
0.99,0,0,-6,-5,3,0,-4,5,0,0,4,0
1.04,2,-2,0,-3,5,-7,0,2,-4,2,2,0
1.10,0,0,-10,0,3,-4,3,0,-8,0,0,0
1.15,0,-2,-3,-3,0,-10,-4,2,-4,2,2,-8
1.18,2,-2,-3,-3,5,-10,3,2,7,0,2,-4
1.23,2,-2,0,0,7,-7,3,0,0,2,0,0
1.28,6,-5,0,0,0,-4,-7,2,0,0,0,-4
1.32,2,-5,-3,-3,3,-4,0,2,-4,2,0,-4
1.37,0,-5,-3,-5,5,-7,0,0,-4,0,4,4
1.42,0,-2,0,0,0,0,-2,0,-4,4,0,4
1.46,4,0,-3,0,5,-4,0,2,-4,4,0,0
1.50,-3,-5,4,0,5,-4,-2,2,-4,2,0,4
1.54,-5,-2,-3,-3,3,4,-4,2,-4,0,0,-8
1.58,0,7,-10,-5,5,-4,-2,2,-8,2,-3,4
1.62,0,-7,-3,0,7,-7,0,0,0,7,0,0
1.67,-3,-5,-3,-3,5,-4,0,5,0,0,2,0
1.70,-5,-5,-6,0,5,-10,3,2,0,2,0,0
1.74,0,-5,0,2,3,-10,-2,2,-4,2,0,0
1.80,0,-5,-3,0,3,0,0,5,-4,4,0,0
1.85,-3,3,-3,0,5,0,-2,2,-4,4,2,-4
1.90,0,0,4,-3,3,-7,3,7,-4,2,2,0
1.93,-5,-2,-6,-3,3,-10,3,0,3,2,4,4
1.98,-5,-5,0,0,0,-7,-4,-2,0,4,4,-4
2.04,-5,-7,0,0,5,-7,-4,-2,-4,2,0,0
2.09,0,0,0,-5,3,-4,-2,0,-4,2,0,0
2.14,-3,-2,-3,0,5,-4,3,2,-4,2,0,-4
2.17,-3,3,0,-3,3,-10,-2,5,-8,2,2,-4
2.22,-3,-7,-6,-5,3,0,-4,2,-8,2,2,0
2.26,-3,-5,-3,0,5,-4,-4,0,0,2,0,0
2.28,2,-7,-3,-3,5,0,0,2,-4,0,2,-12
2.33,2,-5,-6,0,0,-7,-2,2,0,4,4,0
2.36,0,-5,4,0,7,0,-2,0,-4,2,0,-4
2.39,2,0,-6,-8,3,-10,-4,2,-4,0,4,-4
2.44,-3,-2,4,2,3,0,0,2,3,4,4,-4
2.47,-3,-5,0,-3,3,-7,-2,2,0,2,2,-4
2.50,-3,-5,4,0,3,-7,3,2,3,2,7,-8
2.55,0,-7,-3,0,5,-4,0,2,3,4,-3,-8
2.57,0,0,-3,-5,10,-7,3,0,-4,4,2,-4
2.62,-3,-2,-6,-5,0,-7,-2,0,-8,2,0,0
2.65,-5,-7,-6,0,0,-4,-2,0,0,4,0,0
2.68,2,-2,-3,0,5,0,-2,2,-8,2,0,-4
2.73,-3,-5,0,2,3,-4,0,0,-4,2,0,0
2.76,-3,0,0,-3,3,0,-4,5,-8,0,-3,0
2.79,2,3,-10,2,5,-7,-2,0,0,4,0,-4
2.84,0,3,0,2,5,0,0,2,-4,2,4,0
2.87,2,-5,4,0,0,0,3,2,0,0,0,0
2.90,8,-5,-3,0,3,0,-2,7,-4,0,4,4
2.93,-3,-5,-6,0,0,-7,0,2,0,4,4,0
2.97,0,-2,-6,-3,3,4,-2,2,-8,2,2,-4
3.00,2,0,8,-3,3,-4,-2,2,0,4,2,-4
3.05,0,0,-3,-8,0,-7,-2,2,3,-3,4,0
3.08,0,-2,0,-3,5,0,0,2,3,2,2,-4
3.11,-3,-5,0,-3,3,-4,5,2,7,2,2,0
3.16,-5,-2,-10,-3,5,-4,0,2,0,2,2,-4
3.19,2,3,-6,2,0,-7,-2,2,3,4,0,-4
3.22,0,0,-3,-3,3,-7,-4,2,0,7,0,0
3.25,-3,0,-10,-3,5,-4,-2,0,-4,0,0,0
3.29,-5,0,-10,0,-2,0,0,5,0,0,0,-12
3.33,2,5,-3,-8,5,0,-2,0,-4,0,2,-8
3.36,-3,-2,20,-3,5,0,3,5,3,4,0,0
3.40,-3,-2,24,2,0,-4,0,7,0,2,2,-4
3.43,4,3,4,-3,3,-4,-7,5,-4,0,2,0
3.46,-3,5,4,-10,5,-14,0,7,-8,4,2,4
3.51,-3,-7,4,0,3,-7,0,5,-4,4,2,0
3.54,4,5,0,-3,3,-4,0,2,0,2,7,-4
