Time(s):,Sensor1x:,Sensor1y:,Sensor1z:,Sensor2x:,Sensor2y:,Sensor2z:,Sensor3x:,Sensor3y:,Sensor3z:,Sensor4x:,Sensor4y:,Sensor4z:
0.11,-2,-21,-3,78640,78640,126873,-201,158,-92,78640,78640,126873
0.21,-4,-24,-7,78640,78640,126873,-201,158,-92,-74,72,23
0.26,-7,-26,-7,78640,78640,126873,-204,158,-96,-72,69,23
0.32,0,-26,-3,-148,-28,-3,-206,156,-100,-74,67,15
0.36,-7,-26,-3,-151,-28,0,-204,160,-100,-76,67,19
0.41,2,0,3,-5,0,3,-5,-5,8,-3,-2,-4
0.45,0,2,-4,0,-3,0,-3,-5,0,0,0,-4
0.49,2,7,-8,0,-3,6,2,0,0,0,0,-4
0.53,-3,2,0,-3,-5,6,-5,0,8,2,0,-4
0.57,2,2,-8,0,-3,3,0,-7,0,-3,0,-4
0.60,0,4,-4,-3,2,6,0,-2,-4,2,0,-8
0.65,2,2,-12,-3,-3,3,-3,-5,0,0,3,-4
0.71,0,2,-8,-3,-3,3,-3,-2,0,2,-2,0
0.76,-3,4,0,-3,-5,0,0,0,4,4,-5,-4
0.79,0,4,6,-5,-3,3,0,-2,4,0,3,0
0.84,2,4,-4,-5,0,0,0,-2,4,2,-5,-4
0.89,2,7,0,-3,-3,3,0,-5,0,2,-2,-8
0.93,2,4,-4,-3,2,3,0,5,0,0,0,-4
0.97,0,4,-4,-3,0,3,-3,-2,4,2,3,0
1.00,0,0,3,-3,-5,6,2,-5,4,2,-2,-4
1.05,-5,0,0,0,-3,6,-5,0,4,0,0,0
1.09,2,2,-4,0,-5,6,-3,-2,4,4,0,-8
1.13,0,4,-8,0,0,0,0,0,0,4,-2,-4
1.19,2,4,0,-3,-8,-8,-5,-2,8,0,0,0
1.22,0,4,-4,0,-5,6,-7,0,4,-3,-2,0
1.27,-3,4,-8,-5,-3,10,-5,0,0,2,0,-8
1.30,2,0,0,0,-3,0,-3,-2,4,0,0,-4
1.34,2,-3,-4,-5,-8,6,0,0,8,2,-2,0
1.38,0,4,0,-5,-5,0,0,-2,8,0,0,-4
1.43,2,2,-4,-3,-3,3,0,-2,0,4,0,-4
1.46,8,2,6,-3,-5,3,-3,0,8,4,0,-4
1.51,0,4,3,0,-3,6,0,-2,4,4,0,-8
1.56,4,4,-4,-3,0,10,-5,0,8,4,-7,4
1.61,0,4,0,-3,0,0,-5,-2,0,2,-5,-4
1.67,-3,0,0,-3,0,6,2,-5,4,0,3,-4
1.72,2,0,-4,0,-3,6,-5,0,8,0,3,-4
1.77,2,0,0,2,4,6,0,-2,4,2,-5,-4
1.83,2,2,-4,-3,-5,0,-3,-2,8,2,0,-4
1.88,0,2,-4,-3,0,0,2,0,4,0,3,-4
1.91,-3,0,-4,0,-5,0,0,2,4,4,-2,-8
1.96,0,2,0,-3,-3,0,0,-2,0,0,0,0
1.99,0,-3,0,2,0,10,-3,0,0,2,0,0
2.04,0,4,-4,2,2,0,0,2,8,4,-2,-4
2.07,2,-3,0,-3,2,6,2,-2,4,2,0,-8
2.12,2,2,10,-5,-8,6,0,-5,8,0,0,-8
2.17,2,2,-4,-3,-5,3,0,-2,4,2,0,-4
2.22,2,4,0,0,0,0,-3,0,0,4,0,-4
2.26,2,0,0,-5,-5,6,-3,-2,4,4,0,-8
2.31,2,2,-12,0,-5,6,0,-2,8,2,-2,-4
2.33,4,4,-8,-3,-3,3,0,2,4,-3,-2,-4
2.38,-3,0,6,-3,-3,3,0,-2,4,2,0,-4
